 ,InsertionSort, Quicksort, Mergesort
100, 247114, 999, 999
200, 243541, 999, 999
400, 246881, 999, 999
800, 260450, 999, 999
1600, 249593, 999, 999
3200, 249538, 999, 999
6400, 255927, 999, 999
12800, 250228, 999, 999
25600, 242072, 999, 999
51200, 246441, 999, 999
